Author	year	journal	primate_sp	plant_sp	Variable	Xc	Nc	Xe	Ne	lnR	Var(lnR)
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Helicostylis tomentosa	Germination Proportion (%)	1	15	1	15	0	0.1333
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Jacaratia digitata	Germination Proportion (%)	1	20	1	29	0	0.0845
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Passiflora rhamnifolia	Days until 1st seed germinate	1	100	1	100	0	0.02
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Passiflora rhamnifolia	Germination Proportion (%)	1	100	1	100	0	0.02
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Passiflora rhamnifolia	Germination time (days)	1	100	1	100	0	0.02
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Passiflora rhamnifolia	Days until 1st seed germinate	1	160	1	160	0	0.0125
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Passiflora rhamnifolia	Germination Proportion (%)	1	160	1	160	0	0.0125
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Passiflora rhamnifolia	Germination time (days)	1	160	1	160	0	0.0125
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Alouatta seniculus	Inga acreana	Germination time (days)	2.3	70	1.1	70	-0.7376	0.0145
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Inga edulis	Days until 1st seed germinate	2	18	2	18	0	0.0278
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Inga thibaudiana	Days until 1st seed germinate	2	27	2	27	0	0.0185
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Inga thibaudiana	Germination time (days)	2	27	2	27	0	0.0185
Benitez-Malvido J, González-Di Pierro AM, Lombera R, Guillén S & Estrada A	2014	American Journal of Botany	Ateles geoffroyi	Spondias mombin	Germination Proportion (%)	1.7	10	2.6	10	0.4249	0.0494
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Campomanesia eugenoides	Days until 1st seed germinate	12	14	3	14	-1.3863	0.0084
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Jacaratia digitata	Germination Proportion (%)	2	15	3	15	0.4055	0.0241
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Tapirira guianensis	Days until 1st seed germinate	3	48	3	48	0	0.0046
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Vismia latifolia	Germination time (days)	3.7	15	3.1	15	-0.1769	0.0118
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Alouatta seniculus	Inga cylindrica	Germination time (days)	3.9	260	3.3	260	-0.1671	0.0006
Benitez-Malvido J, González-Di Pierro AM, Lombera R, Guillén S & Estrada A	2014	American Journal of Botany	Alouatta pigra	Spondias mombin	Germination Proportion (%)	1.7	10	3.41	10	0.6961	0.0432
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Marlierea sp.	Days until 1st seed germinate	8	10	4	10	-0.6931	0.0078
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Marlierea sp.	Germination time (days)	7	10	4	10	-0.5596	0.0083
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Inga thibaudiana	Days until 1st seed germinate	4	20	4	20	0	0.0063
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Inga thibaudiana	Germination time (days)	5	20	4	20	-0.2231	0.0051
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Calyptranthes lucida	Days until 1st seed germinate	4	60	4	60	0	0.0021
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Marlierea suaveolens	Germination time (days)	11	100	4	95	-1.0116	0.0007
Bravo SP.	2009	Biotropica	Alouatta caraya	Cecropia pachystachya	Germination time (days)	4.4	60	4.3	60	-0.023	0.0018
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Miconia mirabilis	Germination time (days)	55.5	4	4.5	4	-2.5123	0.0124
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Inga thibaudiana	Germination time (days)	9.7	6	4.7	6	-0.7246	0.0093
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Inga edulis	Germination time (days)	7	18	5	18	-0.3365	0.0034
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Myrcia sp.	Days until 1st seed germinate	5	50	5	50	0	0.0016
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Myrcia sp.	Germination time (days)	20	50	5	50	-1.3863	0.0008
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Cordia lomatoloba	Days until 1st seed germinate	14	100	5	100	-1.0296	0.0005
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Ficus pertusa	Germination Proportion (%)	32.1	697	5.1	6150	-1.8396	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Trichilia tuberculata	Germination time (days)	5.9	51	5.3	51	-0.1072	0.0013
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Cissus sicyoides	Germination Proportion (%)	0.1	10	5.6	36	4.0254	10.0009
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Cissus sicyoides	Germination Proportion (%)	0.1	10	6.3	16	4.1431	10.0016
Wehncke EV, Dalling JW 	2005	Biotropica	Cebus capucinus	Hasseltia floribunda	Germination time (days)	5.5	27	6.5	27	0.1671	0.0021
Valenta K & Fedigan LM	2009	American Journal of Physical Anthropology	Cebus capucinus	Casearia arguta	Germination time (days)	10.4	125	6.8	285	-0.4249	0.0001
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Maripa sp.	Germination time (days)	7	11	7	10	0	0.0039
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Posoqueria latifolia	Days until 1st seed germinate	16	12	7	12	-0.8267	0.002
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Hymenaea oblongifolia	Germination Proportion (%)	7	13	7	13	0	0.0031
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Maripa sp.	Germination time (days)	7	11	7	14	0	0.0033
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Paullinia clathrata	Germination time (days)	7	13	7	17	0	0.0028
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Paullinia clathrata	Germination time (days)	7	13	7	28	0	0.0023
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Tapirira obtusa	Germination time (days)	7	12	7	30	0	0.0024
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Inga sp.	Germination time (days)	42	14	7	36	-1.7918	0.0006
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Talisia sp.	Germination time (days)	7	32	7	39	0	0.0012
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Tapirira obtusa	Germination time (days)	7	12	7	43	0	0.0022
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Talisia sp.	Germination time (days)	7	32	7	46	0	0.0011
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Tapirira guianensis	Germination time (days)	7	48	7	48	0	0.0009
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Copaifera trapezifolia	Germination time (days)	26	50	7	53	-1.3122	0.0004
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Myrcia paivae	Germination time (days)	7	54	7	112	0	0.0006
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Myrcia paivae	Germination time (days)	7	54	7	119	0	0.0005
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Ficus insipida	Days until 1st seed germinate	15	100	7	190	-0.7621	0.0002
Wehncke EV, Dalling JW 	2005	Biotropica	Cebus capucinus	Cecropia insignis	Germination time (days)	8.5	350	7	350	-0.1942	0.0001
Valenta K & Fedigan LM	2009	American Journal of Physical Anthropology	Cebus capucinus	Trichilia martiana	Germination time (days)	8.5	103	7.4	103	-0.1386	0.0003
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Alouatta seniculus	Castilla ulei	Germination time (days)	21.6	95	7.5	95	-1.0578	0.0002
Benitez-Malvido J, González-Di Pierro AM, Lombera R, Guillén S & Estrada A	2014	American Journal of Botany	Ateles geoffroyi	Spondias radlkoferi	Germination Proportion (%)	6.6	10	7.6	10	0.1411	0.004
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Alibertia  handrantha	Germination time (days)	9	55	7.7	55	-0.156	0.0005
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Coussapoa orthoneura	Germination time (days)	11.1	141	8	141	-0.3275	0.0002
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Marcgravia longifolia	Germination Proportion (%)	52.9	70	8	2338	-1.889	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Ludovia lancifolia	Germination Proportion (%)	7	100	8.3	230	0.1703	0.0003
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Inga edulis	Germination time (days)	8.9	31	8.8	31	-0.0113	0.0008
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Alouatta seniculus	Ficus insipida	Germination time (days)	14.1	165	8.9	165	-0.4601	0.0001
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Campomanesia eugenoides	Germination time (days)	19	14	9	14	-0.7472	0.0011
Martins MM	2006	Biotropica	Brachyteles arachnoides	Eugenia ligustrina	Germination time (days)	21	20	9	60	-0.8473	0.0003
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Cecropia hololeuca	Days until 1st seed germinate	9	360	9	360	0	0.0001
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Cyclanthus bipartitus	Germination Proportion (%)	50	10	9.1	11	-1.7037	0.0011
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Leonia crassa	Germination time (days)	10.3	47	9.1	47	-0.1239	0.0005
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Henriettea saldanhei	Germination Proportion (%)	81.8	330	9.7	330	-2.1322	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Cecropia pachystachya	Days until 1st seed germinate	10	420	10	420	0	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Trichostigma octandrum	Germination time (days)	7.1	40	10.2	40	0.3623	0.0007
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Cecropia sciadophylla	Germination time (days)	16.4	76	10.2	76	-0.4749	0.0002
Benitez-Malvido J, González-Di Pierro AM, Lombera R, Guillén S & Estrada A	2014	American Journal of Botany	Alouatta pigra	Spondias radlkoferi	Germination Proportion (%)	6.6	10	10.5	10	0.4643	0.0032
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Mendoncia sprucei	Germination time (days)	14	21	10.5	33	-0.2877	0.0005
